clip,bone,present,minBoneY,maxBoneY
HouseDancing,Hips,True,0.1731109,0.213924065
HouseDancing,LeftUpperLeg,True,0.15596281,0.204698861
HouseDancing,RightUpperLeg,True,0.138296053,0.208601385
HouseDancing,LeftLowerLeg,True,0.06049333,0.132086664
HouseDancing,RightLowerLeg,True,0.06031213,0.18013984
HouseDancing,LeftFoot,True,0.0257496852,0.0985773355
HouseDancing,RightFoot,True,0.0162101388,0.136660725
HouseDancing,Spine,True,0.2170999,0.2569244
HouseDancing,Chest,True,0.268420547,0.307785958
HouseDancing,Neck,True,0.371268749,0.43284
HouseDancing,Head,True,0.390654147,0.461683
HouseDancing,LeftShoulder,True,0.366272748,0.425435662
HouseDancing,RightShoulder,True,0.3586145,0.422537148
HouseDancing,LeftUpperArm,True,0.324985266,0.410518765
HouseDancing,RightUpperArm,True,0.317521542,0.44347924
HouseDancing,LeftLowerArm,True,0.265103072,0.40849027
HouseDancing,RightLowerArm,True,0.242258087,0.461959779
HouseDancing,LeftHand,True,0.206023231,0.426027238
HouseDancing,RightHand,True,0.208498269,0.454431176
HouseDancing,LeftToes,True,-0.0206450634,0.0319702141
HouseDancing,RightToes,True,-0.0391783826,0.07836365
HouseDancing,LeftEye,False,Infinity,-Infinity
HouseDancing,RightEye,False,Infinity,-Infinity
HouseDancing,Jaw,False,Infinity,-Infinity
HouseDancing,LeftThumbProximal,False,Infinity,-Infinity
HouseDancing,LeftThumbIntermediate,False,Infinity,-Infinity
HouseDancing,LeftThumbDistal,False,Infinity,-Infinity
HouseDancing,LeftIndexProximal,True,0.157773271,0.438872933
HouseDancing,LeftIndexIntermediate,True,0.1533907,0.441856742
HouseDancing,LeftIndexDistal,True,0.1466668,0.447868645
HouseDancing,LeftMiddleProximal,False,Infinity,-Infinity
HouseDancing,LeftMiddleIntermediate,False,Infinity,-Infinity
HouseDancing,LeftMiddleDistal,False,Infinity,-Infinity
HouseDancing,LeftRingProximal,False,Infinity,-Infinity
HouseDancing,LeftRingIntermediate,False,Infinity,-Infinity
HouseDancing,LeftRingDistal,False,Infinity,-Infinity
HouseDancing,LeftLittleProximal,False,Infinity,-Infinity
HouseDancing,LeftLittleIntermediate,False,Infinity,-Infinity
HouseDancing,LeftLittleDistal,False,Infinity,-Infinity
HouseDancing,RightThumbProximal,False,Infinity,-Infinity
HouseDancing,RightThumbIntermediate,False,Infinity,-Infinity
HouseDancing,RightThumbDistal,False,Infinity,-Infinity
HouseDancing,RightIndexProximal,True,0.158063546,0.4461939
HouseDancing,RightIndexIntermediate,True,0.153776169,0.445230663
HouseDancing,RightIndexDistal,True,0.147607312,0.442636
HouseDancing,RightMiddleProximal,False,Infinity,-Infinity
HouseDancing,RightMiddleIntermediate,False,Infinity,-Infinity
HouseDancing,RightMiddleDistal,False,Infinity,-Infinity
HouseDancing,RightRingProximal,False,Infinity,-Infinity
